# 2026-09 重训名册 —— AGENT.md 2.2 的表,一行一条,给 slurm/campaign_tick.sh 读。
# arm<TAB>steps<TAB>prio<TAB>note
# prio: 0=判决基线/回归对照  1=自研方法(必须有自己的行)  2=代表面板  3=A 轴(要缓存+预演门)
vanilla_corr	250	0	判决基线
vanilla_te	250	0	TE Path1 是否 ≡ termfix,licenses 每条 _corr 行
c2_quantile_budget_corr	200	1	OURS 预算族
c4_pi_tail_budget_corr	200	1	OURS,c4 的表行
c4_hq	200	1	OURS,gather-only 例外
c4_state	200	1	OURS,gather-only 例外
c2_qb_fixed8_corr	200	1	OURS 梯子:固定 top-8
c2_qb_perseq_corr	200	1	OURS 梯子:每轨迹一个 tau
c5_union_rkl	250	1	OURS 预注册"更早爆"
c5_union_fkl	250	1	OURS 预注册 un_p_imend 上升
n2_corr	250	1	N2 在修正基座上的效果
b1_skew_kl_corr	200	2	B null 代表
b2_forward_kl_corr	200	2	分数≈但交付坏(唯一此类)
c3_intersection_corr	200	2	省 token 候选
d2_selectkd_corr	200	2	D 代表
d3_teachability_corr	200	2	修正后 +32% 长度,动态不同
e2_set_coverage_a0_corr	200	2	第二条塌缩通路
f2_hard_clip_corr	200	2	文献标准硬截
f3_power_corr	200	2	legacy 效应最大处的 null
g6_seqmean_corr	200	2	G null 代表
g1_verified_only_corr	200	2	G 轴最经典,要评分数
h1_first_segment_corr	200	2	最短
h2_last_segment_corr	200	2	照塌
h3_random_segment_corr	200	2	H null 代表
h4_random_scatter_corr	200	2	窗口 vs 散点,自己的预注册
a1_gkd_mix0.5_n0	200	3	固定混合;要 gkd 缓存 + 预演门
a3_offpolicy_n0	200	3	纯离策;要 gkd 缓存 + 预演门
a4_dagger_anneal_n0	200	3	DAgger 退火;R1/R2 预注册裁决
a5_aggrevate_n0	200	3	AggreVaTe;吃 .dry keys(已在盘上)
